"Region","total_households","kava_households","kava_production","coconut_households","coconut_production","cocoa_households","cocoa_production","coffee_households","coffee_production","vanilla_households","vanilla_production","tahitian lime_households","tahitian lime_production","pepper_households","pepper_production","noni_households","noni_production"
"East Ambae",433,79,411,129,398,46,183,0,0,27,0,0,0,0,0,47,123
"South Ambae",1603,181,1237,190,911,97,227,58,453,84,0,0,0,45,0,46,81
"North Maewo",1449,171,467,172,690,88,243,0,0,86,65,0,0,68,0,44,89
"South Maewo",540,118,382,152,609,76,157,0,0,35,90,37,67,0,0,0,0
"North Pentecost",527,69,342,86,436,27,143,0,0,0,0,0,0,40,20,14,39
"Central Pentecost 1",1411,299,1050,401,842,128,420,163,555,93,291,94,231,84,76,58,111
"Central Pentecost 2",584,62,276,80,422,30,81,30,136,0,0,27,61,0,0,9,20
"South Pentecost",284,49,359,55,161,17,82,0,0,0,0,0,0,0,0,10,24
"Malampa",8007,1093,3866,878,4248,510,1042,192,40,353,524,148,301,254,196,167,387
"North West Malekula",348,47,379,115,332,49,179,0,0,45,50,25,72,26,13,16,54
"North East Malekula",849,120,410,82,294,74,120,69,0,37,75,0,0,42,40,21,33
"Central Malekula",170,15,105,20,112,10,30,12,40,8,19,0,0,10,7,5,7
"South West Malekula",412,54,276,65,189,26,85,0,0,14,24,0,0,0,0,16,24
"South East Malekula",1079,138,810,116,545,85,211,0,0,100,152,0,0,55,72,20,93
"South Malekula",836,84,304,54,399,68,183,0,0,26,47,0,0,23,0,10,45
"North Ambrym",1029,116,415,69,350,53,0,0,0,18,88,31,57,43,24,0,0
"West Ambrym",787,90,0,108,0,53,0,0,0,31,0,26,0,0,0,0,0
"South East Ambrym",842,310,667,122,1056,92,234,111,0,74,69,0,0,55,40,42,56
"Paama",1655,119,500,127,971,0,0,0,0,0,0,66,172,0,0,37,75
"Shefa",22557,2760,10123,3078,13610,1994,5706,1023,3561,1071,1595,946,2553,584,477,505,1227
"Port Vila",11736,1351,4841,1557,6993,1167,3194,572,2014,619,545,557,1476,362,388,263,801
"Vermali",981,72,479,78,511,56,159,40,113,0,0,0,0,0,0,22,20
"Vermaul",1096,92,503,127,728,89,193,66,252,34,141,0,0,0,0,25,34
"Varisu",845,159,519,210,489,103,334,0,0,47,140,0,0,0,0,0,0
"South Epi",794,98,397,164,489,50,340,0,0,21,97,0,0,0,0,0,0
"North Tongoa",188,40,239,27,104,20,38,0,0,15,21,7,22,0,0,0,0
"Tongariki",641,65,441,49,175,48,204,41,190,23,0,36,102,0,0,12,22
"Makimae",379,57,177,52,364,27,79,16,98,21,48,27,72,0,0,13,25
"Nguna",748,145,247,95,448,48,256,51,212,44,52,24,80,34,17,33,60
"Emau",571,116,334,70,271,0,0,0,0,43,60,31,107,0,0,0,0
"Malorua",144,31,100,22,89,12,46,11,36,7,10,7,21,7,0,5,15
"North Efate",563,77,193,53,381,33,88,17,120,22,34,24,101,23,16,14,34
"Mele",442,43,355,57,258,35,111,27,65,25,51,24,115,22,0,21,20
"Tanvasoko",96,37,64,13,100,32,63,10,33,6,17,7,42,0,0,3,9
"Ifira",1030,0,0,180,619,76,0,0,0,38,125,35,110,0,0,22,64
"Pango",676,128,0,95,749,60,195,58,124,31,48,34,107,39,0,17,26
"Erakor",389,60,181,42,174,55,99,17,59,19,43,24,65,0,0,18,22
"Eratap",723,112,590,75,324,34,133,39,115,28,102,61,78,43,24,17,25
"Eton",515,77,463,112,344,49,174,58,130,28,61,48,55,54,32,20,50
"Tafea",8322,1016,2844,1737,4906,361,479,369,1510,298,442,205,603,23,9,93,209
"North Erromango",1650,246,325,368,1100,80,337,74,210,81,72,0,0,0,0,0,0
"South Erromango",478,86,323,99,213,34,120,21,124,22,0,0,0,0,0,0,0
"Aniwa",1495,0,0,324,718,0,0,0,0,0,0,0,0,0,0,0,0
"North Tanna",197,16,167,31,171,12,0,15,36,10,19,0,0,0,0,0,0
"West Tanna",186,31,81,38,162,19,22,13,57,17,23,12,18,0,0,5,15
"Middle Bush Tanna",202,54,110,51,134,33,0,12,51,14,54,0,0,0,0,0,0
"South West Tanna",1185,142,645,144,647,43,0,68,353,56,73,46,87,0,0,29,63
"Whitesands",1573,120,561,129,548,90,0,33,333,0,0,46,192,0,0,36,72
"South Tanna",321,93,378,108,357,0,0,29,84,23,59,20,76,0,0,9,23
"Futuna",762,177,0,330,621,0,0,70,143,33,87,47,153,0,0,0,0
"Aneityum",273,51,254,115,235,50,0,34,119,42,55,34,77,23,9,14,36
