"Region","total_businesses","industry_transportation","industry_accommodation and food","industry_administrative services","industry_wholesale and retail trade","industry_agriculture, forestry and fishing","industry_construction","industry_manufacturing","industry_arts and entertainment","industry_mining and quarrying","industry_real estate","industry_scientific and technical","industry_financial and insurance","industry_education","industry_information and communication","industry_other services","industry_water supply and waste management","industry_health and social work","industry_electricity and gas"
"Tongariki",8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Makimae",11,1,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Nguna",35,2,10,4,9,0,4,2,0,0,0,0,4,0,0,0,0,0,0
"Emau",22,0,7,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Malorua",20,1,4,1,2,3,1,1,0,0,1,1,1,1,1,0,0,2,0
"North Efate",34,2,5,0,6,6,3,2,1,0,2,4,2,0,0,0,1,0,0
"Mele",36,2,3,2,3,5,3,2,2,0,2,2,1,2,1,3,1,2,0
"Tanvasoko",16,1,2,1,2,2,1,0,0,0,1,1,0,1,1,2,0,1,0
"Ifira",59,5,8,1,15,0,6,2,0,0,2,5,3,0,0,12,0,0,0
"Pango",58,2,5,2,7,4,5,5,2,0,3,2,4,2,3,5,0,6,1
"Erakor",41,2,4,2,6,5,3,2,2,0,2,1,2,2,1,6,1,0,0
"Eratap",65,3,6,3,10,6,8,2,1,0,3,5,3,3,1,7,1,3,0
"Eton",44,4,4,3,12,6,3,4,0,0,5,0,0,3,0,0,0,0,0
"Tafea",195,24,36,17,46,17,26,15,6,0,1,1,1,1,1,3,0,0,0
"North Erromango",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Erromango",14,0,0,1,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0
"Aniwa",34,0,13,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Tanna",5,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"West Tanna",21,1,4,1,3,2,1,0,1,0,1,1,1,1,1,3,0,0,0
"Middle Bush Tanna",14,2,3,2,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0
"South West Tanna",21,5,0,0,6,0,7,3,0,0,0,0,0,0,0,0,0,0,0
"Whitesands",54,4,10,6,6,12,9,3,4,0,0,0,0,0,0,0,0,0,0
"South Tanna",17,1,6,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Futuna",9,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Aneityum",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
