"Region","total_facilities","facility_hospital","facility_health centre","facility_dispensary","facility_aidpost","total_professionals","prof_doctor","prof_nurse practitioner","prof_registered nurse","prof_midwife","prof_nurse aid","total_staff","staff_clinical medical services","staff_nonclinical medical services","staff_clinical nursing services","staff_nonclinical nursing services","staff_pharmacy services"
"North Ambae",2,0,0,0,2,7,0,0,0,0,7,0,0,0,0,0,0
"East Ambae",4,0,0,0,4,0,0,0,0,0,0,53,19,10,14,7,3
"South Ambae",5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"North Maewo",22,0,16,0,6,93,42,0,12,29,10,0,0,0,0,0,0
"South Maewo",4,0,0,2,2,9,0,0,5,0,4,0,0,0,0,0,0
"North Pentecost",12,0,7,2,3,22,0,6,6,6,4,0,0,0,0,0,0
"Central Pentecost 1",17,0,0,3,14,46,0,23,12,0,11,0,0,0,0,0,0
"Central Pentecost 2",4,0,0,1,3,11,0,7,3,0,1,0,0,0,0,0,0
"South Pentecost",2,0,0,1,1,11,0,0,2,5,4,0,0,0,0,0,0
"Malampa",44,0,0,17,27,120,0,0,52,21,47,13,4,2,4,2,1
"North West Malekula",6,0,0,3,3,9,0,0,5,0,4,0,0,0,0,0,0
"North East Malekula",5,0,0,2,3,11,0,0,6,0,5,0,0,0,0,0,0
"Central Malekula",0,0,0,0,0,2,0,0,1,0,1,13,4,2,4,2,1
"South West Malekula",2,0,0,1,1,7,0,0,4,0,3,0,0,0,0,0,0
"South East Malekula",7,0,0,4,3,11,0,0,7,0,4,0,0,0,0,0,0
"South Malekula",4,0,0,2,2,17,0,0,4,9,4,0,0,0,0,0,0
"North Ambrym",2,0,0,0,2,11,0,0,0,6,5,0,0,0,0,0,0
"West Ambrym",5,0,0,2,3,19,0,0,9,6,4,0,0,0,0,0,0
"South East Ambrym",6,0,0,0,6,18,0,0,7,0,11,0,0,0,0,0,0
"Paama",7,0,0,3,4,15,0,0,9,0,6,0,0,0,0,0,0
"Shefa",112,4,17,38,53,428,25,131,98,40,134,503,141,70,140,90,62
"Port Vila",63,4,0,27,32,264,0,117,48,0,99,503,141,70,140,90,62
"Vermali",2,0,0,0,2,16,0,0,3,10,3,0,0,0,0,0,0
"Vermaul",0,0,0,0,0,10,0,0,6,0,4,0,0,0,0,0,0
"Varisu",3,0,0,0,3,8,0,0,8,0,0,0,0,0,0,0,0
"North Tongoa",1,0,0,1,0,4,0,0,2,0,2,0,0,0,0,0,0
"Tongariki",5,0,0,2,3,8,0,0,3,0,5,0,0,0,0,0,0
"Makimae",3,0,0,1,2,17,0,0,4,10,3,0,0,0,0,0,0
"Nguna",5,0,0,3,2,10,0,0,4,0,6,0,0,0,0,0,0
"Emau",1,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0
"Malorua",1,0,0,1,0,3,0,0,1,0,2,0,0,0,0,0,0
"North Efate",9,0,7,0,2,15,0,5,2,5,3,0,0,0,0,0,0
"Mele",10,0,10,0,0,34,11,9,4,7,3,0,0,0,0,0,0
"Tanvasoko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifira",2,0,0,2,0,11,0,0,7,0,4,0,0,0,0,0,0
"Erakor",2,0,0,1,1,24,14,0,2,8,0,0,0,0,0,0,0
"Eratap",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Eton",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Tafea",39,0,0,18,21,130,0,16,50,17,47,11,4,1,3,2,1
"North Erromango",4,0,0,4,0,31,0,10,12,0,9,0,0,0,0,0,0
"South Erromango",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Aniwa",4,0,0,4,0,15,0,0,7,0,8,0,0,0,0,0,0
"North Tanna",2,0,0,1,1,3,0,0,2,0,1,0,0,0,0,0,0
"West Tanna",1,0,0,0,1,3,0,0,0,0,3,11,4,1,3,2,1
"Middle Bush Tanna",2,0,0,1,1,4,0,0,2,0,2,0,0,0,0,0,0
"South West Tanna",6,0,0,3,3,17,0,0,10,0,7,0,0,0,0,0,0
"Whitesands",8,0,0,2,6,29,0,6,5,11,7,0,0,0,0,0,0
"South Tanna",2,0,0,1,1,8,0,0,0,6,2,0,0,0,0,0,0
"Futuna",7,0,0,1,6,12,0,0,7,0,5,0,0,0,0,0,0
"Aneityum",1,0,0,1,0,8,0,0,5,0,3,0,0,0,0,0,0
