"Year","Month","Day","Baseline","Cluster","Indicator","Attribute","Hazard Type","Hazard Response & Recovery","Climate Change","Past Hazard Events","Blue Economy","Agriculture","International Trade","Measure","Country","National","Province","Area Council","Village","Unit","Source","Year Collected","Frequency Collection","Value"
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Malampa",,,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Malampa",,,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa",,,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa",,,"number","Minsitry of Education and Training",2024,"Annually",9
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa",,,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Tafea",,,"number","Minsitry of Education and Training",2024,"Annually",10
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Tafea",,,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Tafea",,,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Torba","Torres",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Torba","Torres",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Torba","Torres",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Torba","Ureparapara",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Torba","Ureparapara",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Torba","Ureparapara",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Torba","Motalava",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Torba","Motalava",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Torba","Motalava",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Torba","East Vanualava",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Torba","East Vanualava",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Torba","East Vanualava",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Torba","West Vanualava",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Torba","West Vanualava",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Torba","West Vanualava",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Torba","Mota",,"number","Minsitry of Education and Training",2024,"Annually",13
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Torba","Mota",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Torba","Mota",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Torba","East Gaua",,"number","Minsitry of Education and Training",2024,"Annually",14
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Torba","East Gaua",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Torba","East Gaua",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Torba","West Gaua",,"number","Minsitry of Education and Training",2024,"Annually",13
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Torba","West Gaua",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Torba","West Gaua",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Torba","Merelava",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Torba","Merelava",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Torba","Merelava",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","Luganville",,"number","Minsitry of Education and Training",2024,"Annually",91
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","Luganville",,"number","Minsitry of Education and Training",2024,"Annually",67
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","Luganville",,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","North West Santo",,"number","Minsitry of Education and Training",2024,"Annually",25
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","North West Santo",,"number","Minsitry of Education and Training",2024,"Annually",16
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","North West Santo",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","Big Bay Coast",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","Big Bay Coast",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","Big Bay Coast",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","Big Bay Inland",,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","Big Bay Inland",,"number","Minsitry of Education and Training",2024,"Annually",9
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","Big Bay Inland",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","West Santo",,"number","Minsitry of Education and Training",2024,"Annually",20
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","West Santo",,"number","Minsitry of Education and Training",2024,"Annually",12
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","West Santo",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","South Santo 1",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","South Santo 1",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","South Santo 1",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","South Santo 2",,"number","Minsitry of Education and Training",2024,"Annually",7
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","South Santo 2",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","South Santo 2",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","East Santo",,"number","Minsitry of Education and Training",2024,"Annually",16
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","East Santo",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","East Santo",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","South East Santo",,"number","Minsitry of Education and Training",2024,"Annually",9
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","South East Santo",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","South East Santo",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","Canal Fanafo",,"number","Minsitry of Education and Training",2024,"Annually",15
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","Canal Fanafo",,"number","Minsitry of Education and Training",2024,"Annually",9
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","Canal Fanafo",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","East Malo",,"number","Minsitry of Education and Training",2024,"Annually",20
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","East Malo",,"number","Minsitry of Education and Training",2024,"Annually",9
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","East Malo",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma","West Malo",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma","West Malo",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma","West Malo",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Penama","West Ambae",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Penama","West Ambae",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Penama","West Ambae",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Penama","North Ambae",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Penama","North Ambae",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Penama","North Ambae",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Penama","East Ambae",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Penama","East Ambae",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Penama","East Ambae",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Penama","South Ambae",,"number","Minsitry of Education and Training",2024,"Annually",24
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Penama","South Ambae",,"number","Minsitry of Education and Training",2024,"Annually",9
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Penama","South Ambae",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Penama","North Maewo",,"number","Minsitry of Education and Training",2024,"Annually",17
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Penama","North Maewo",,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Penama","North Maewo",,"number","Minsitry of Education and Training",2024,"Annually",7
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Penama","South Maewo",,"number","Minsitry of Education and Training",2024,"Annually",9
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Penama","South Maewo",,"number","Minsitry of Education and Training",2024,"Annually",7
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Penama","South Maewo",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Penama","North Pentecost",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Penama","North Pentecost",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Penama","North Pentecost",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Penama","Central Pentecost 1",,"number","Minsitry of Education and Training",2024,"Annually",33
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Penama","Central Pentecost 1",,"number","Minsitry of Education and Training",2024,"Annually",15
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Penama","Central Pentecost 1",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Penama","Central Pentecost 2",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Penama","Central Pentecost 2",,"number","Minsitry of Education and Training",2024,"Annually",7
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Penama","Central Pentecost 2",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Penama","South Pentecost",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Penama","South Pentecost",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Penama","South Pentecost",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Malampa","North West Malekula",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Malampa","North West Malekula",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Malampa","North West Malekula",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Malampa","North East Malekula",,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Malampa","North East Malekula",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Malampa","North East Malekula",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Malampa","Central Malekula",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Malampa","Central Malekula",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Malampa","Central Malekula",,"number","Minsitry of Education and Training",2024,"Annually",0
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Malampa","South West Malekula",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Malampa","South West Malekula",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Malampa","South West Malekula",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Malampa","South East Malekula",,"number","Minsitry of Education and Training",2024,"Annually",14
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Malampa","South East Malekula",,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Malampa","South East Malekula",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Malampa","South Malekula",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Malampa","South Malekula",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Malampa","South Malekula",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Malampa","North Ambrym",,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Malampa","North Ambrym",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Malampa","North Ambrym",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Malampa","West Ambrym",,"number","Minsitry of Education and Training",2024,"Annually",14
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Malampa","West Ambrym",,"number","Minsitry of Education and Training",2024,"Annually",7
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Malampa","West Ambrym",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Malampa","South East Ambrym",,"number","Minsitry of Education and Training",2024,"Annually",14
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Malampa","South East Ambrym",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Malampa","South East Ambrym",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Malampa","Paama",,"number","Minsitry of Education and Training",2024,"Annually",13
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Malampa","Paama",,"number","Minsitry of Education and Training",2024,"Annually",14
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Malampa","Paama",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","Port Vila",,"number","Minsitry of Education and Training",2024,"Annually",171
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","Port Vila",,"number","Minsitry of Education and Training",2024,"Annually",187
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","Port Vila",,"number","Minsitry of Education and Training",2024,"Annually",41
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","Vermali",,"number","Minsitry of Education and Training",2024,"Annually",7
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","Vermali",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","Vermali",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","Vermaul",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","Vermaul",,"number","Minsitry of Education and Training",2024,"Annually",10
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","Vermaul",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","Varisu",,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","Varisu",,"number","Minsitry of Education and Training",2024,"Annually",12
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","Varisu",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","South Epi",,"number","Minsitry of Education and Training",2024,"Annually",17
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","South Epi",,"number","Minsitry of Education and Training",2024,"Annually",9
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","South Epi",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","North Tongoa",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","North Tongoa",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","North Tongoa",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","Tongariki",,"number","Minsitry of Education and Training",2024,"Annually",9
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","Tongariki",,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","Tongariki",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","Makimae",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","Makimae",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","Makimae",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","Nguna",,"number","Minsitry of Education and Training",2024,"Annually",10
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","Nguna",,"number","Minsitry of Education and Training",2024,"Annually",7
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","Nguna",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","Emau",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","Emau",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","Emau",,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","Malorua",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","Malorua",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","Malorua",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","North Efate",,"number","Minsitry of Education and Training",2024,"Annually",5
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","North Efate",,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","North Efate",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","Mele",,"number","Minsitry of Education and Training",2024,"Annually",6
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","Mele",,"number","Minsitry of Education and Training",2024,"Annually",4
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","Mele",,"number","Minsitry of Education and Training",2024,"Annually",1
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Shefa","Tanvasoko",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Shefa","Tanvasoko",,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Shefa","Tanvasoko",,"number","Minsitry of Education and Training",2024,"Annually",1
